ticker,company_name,decision,reason,total_qa_rows
W,WAYFAIR INC,ACCEPT,Clean QA pass,5
WHR,WHIRLPOOL CORP,ACCEPT,Clean QA pass,5
WINA,WINMARK CORP,NOT_FOUND,No ESG report found for this company,1
WMK,WEIS MARKETS INC,ACCEPT,Clean QA pass,4
WMT,WALMART INC,ACCEPT,Clean QA pass,3
WOOF,PETCO HEALTH AND WELLNESS CO,ACCEPT,Clean QA pass,4
WRBY,WARBY PARKER INC,ACCEPT,Clean QA pass,5
WSM,WILLIAMS-SONOMA INC,ACCEPT,Clean QA pass,3
WWW,WOLVERINE WORLD WIDE,ACCEPT,Clean QA pass,4
XELB,XCEL BRANDS INC,NOT_FOUND,No ESG report found for this company,1
XMAX,XMAX INC,NOT_FOUND,No ESG report found for this company,1
XOM,EXXON MOBIL CORP,ACCEPT,Clean QA pass,5
YHGJ,YUNHONG GREEN CTI LTD,NOT_FOUND,No ESG report found for this company,1
YSWY,YESWAY INC,NOT_FOUND,No ESG report found for this company,1
ZUMZ,ZUMIEZ INC,NOT_FOUND,No ESG report found for this company,1
ANF,ABERCROMBIE & FITCH -CL A,PENDING_AUDIT,Newly ingested Monday Week 4 - awaiting Tuesday staging audit,0
BRLT,BRILLIANT EARTH GP INC,PENDING_AUDIT,Newly ingested Monday Week 4 - awaiting Tuesday staging audit,0
PAG,PENSKE AUTOMOTIVE GROUP INC,PENDING_AUDIT,Newly ingested Monday Week 4 - awaiting Tuesday staging audit,0
BBBY,BED BATH & BEYOND INC,PENDING_AUDIT,"Found via Drive audit, not in tracker as downloaded - newly ingested Monday Week 4",0
