ticker,filename,size_bytes,status
CVS,0000064803-24-000007.htm,5352597,ok
CVS,0000064803-25-000007.htm,5108619,ok
CVS,0000064803-26-000010.htm,4921164,ok
CWH,0001104659-26-021548.htm,7070936,ok
CWH,0001558370-24-001703.htm,6756212,ok
CWH,0001558370-25-001939.htm,8256967,ok
DBGI,0001104659-24-047365.htm,2737793,ok
DBGI,0001493152-26-016851.htm,2366283,ok
DBGI,0001641172-25-003320.htm,1985122,ok
DBI,0001319947-24-000011.htm,2243556,ok
DBI,0001319947-25-000012.htm,2502199,ok
DBI,0001319947-26-000022.htm,2119551,ok
DDS,0000028917-24-000011.htm,2613792,ok
DDS,0000028917-25-000004.htm,2826952,ok
DDS,0000028917-26-000006.htm,2888968,ok
DECK,0000910521-24-000017.htm,2266200,ok
DECK,0000910521-25-000017.htm,2332427,ok
DECK,0001628280-26-037664.htm,5260149,ok
DELL,0001571996-24-000036.htm,3933680,ok
DELL,0001571996-25-000034.htm,4182278,ok
DELL,0001571996-26-000008.htm,3552634,ok
DG,0001104659-26-032325.htm,2672091,ok
DG,0001558370-24-003813.htm,2463725,ok
DG,0001558370-25-003413.htm,2642074,ok
DIBS,0001600641-24-000022.htm,1775901,ok
DIBS,0001600641-25-000011.htm,1753463,ok
DIBS,0001600641-26-000007.htm,1708690,ok
DKS,0001089063-24-000037.htm,1837308,ok
DKS,0001089063-25-000012.htm,1864904,ok
DKS,0001089063-26-000007.htm,2429393,ok
DLTH,0001193125-26-117508.htm,3622936,ok
DLTH,0001649744-24-000006.htm,3976848,ok
DLTH,0001649744-25-000006.htm,4157835,ok
DLTR,0000935703-24-000011.htm,1840183,ok
DLTR,0000935703-25-000015.htm,1924914,ok
DLTR,0000935703-26-000025.htm,1894818,ok
DXLG,0000950170-24-034763.htm,3233952,ok
DXLG,0000950170-25-042703.htm,3519462,ok
DXLG,0001193125-26-115660.htm,3623874,ok
EBAY,0001065088-24-000036.htm,3075061,ok
EBAY,0001065088-25-000037.htm,2807295,ok
EBAY,0001065088-26-000027.htm,2723024,ok
ETD,0001437749-23-024609.htm,2223109,ok
ETD,0001437749-24-027664.htm,2488865,ok
ETD,0001437749-25-027594.htm,2440279,ok
ETSY,0001370637-24-000013.htm,3314400,ok
ETSY,0001370637-25-000017.htm,2944048,ok
ETSY,0001370637-26-000019.htm,2719612,ok
EVGO,0001104659-26-024827.htm,3583565,ok
EVGO,0001558370-24-002608.htm,2963571,ok
EVGO,0001558370-25-002400.htm,3144129,ok
EYE,0001628280-26-014379.htm,2453665,ok
EYE,0001710155-24-000018.htm,2692379,ok
EYE,0001710155-25-000011.htm,2764621,ok
FIGS,0001628280-24-007659.htm,1685921,ok
FIGS,0001628280-25-008688.htm,1687981,ok
FIGS,0001628280-26-012333.htm,1683823,ok
FIVE,0001177609-24-000008.htm,1562819,ok
FIVE,0001177609-25-000009.htm,1580678,ok
FIVE,0001177609-26-000010.htm,1408140,ok
FL,0000850209-23-000006.htm,4382669,ok
FL,0001437749-24-009866.htm,3129147,ok
FL,0001437749-25-009620.htm,3046982,ok
FLWS,0001084869-25-000017.htm,2124729,ok
FLWS,0001437749-23-025967.htm,2503484,ok
FLWS,0001437749-24-028591.htm,2804714,ok
FLXS,0000037472-23-000024.htm,4021324,ok
FLXS,0000950170-24-102402.htm,2220466,ok
FLXS,0000950170-25-110965.htm,2768496,ok
FND,0001507079-24-000010.htm,1884951,ok
FND,0001507079-25-000013.htm,1786884,ok
FND,0001628280-26-009770.htm,1697000,ok
FOSL,0000883569-24-000007.htm,2841518,ok
FOSL,0000883569-25-000010.htm,2852390,ok
FOSL,0000883569-26-000017.htm,2842191,ok
GAP,0000039911-24-000066.htm,1839386,ok
GAP,0000039911-25-000029.htm,1754495,ok
GAP,0001628280-26-018573.htm,1755098,ok
GCO,0000950170-24-036902.htm,2877223,ok
GCO,0000950170-25-044864.htm,3550948,ok
GCO,0001193125-26-123492.htm,3882934,ok
GES,0000912463-23-000014.htm,3471419,ok
GES,0000912463-24-000029.htm,3638315,ok
GES,0000912463-25-000028.htm,4039384,ok
GIII,0001104659-26-033891.htm,3443315,ok
GIII,0001558370-24-003856.htm,3507033,ok
GIII,0001558370-25-003540.htm,3324131,ok
GME,0001326380-24-000012.htm,1549250,ok
GME,0001326380-26-000013.htm,1877343,ok
GME,0001628280-25-014731.htm,1596154,ok
GO,0001771515-24-000016.htm,1959175,ok
GO,0001771515-25-000017.htm,2085486,ok
GO,0001771515-26-000015.htm,2193680,ok
GPI,0001031203-24-000013.htm,2969850,ok
GPI,0001031203-25-000013.htm,2965117,ok
GPI,0001031203-26-000064.htm,2970272,ok
GPRO,0001500435-24-000021.htm,2135010,ok
GPRO,0001500435-26-000006.htm,2305062,ok
GPRO,0001628280-25-013046.htm,2112288,ok
GROV,0001628280-24-012257.htm,2194749,ok
GROV,0001628280-25-013839.htm,1930143,ok
GROV,0001841761-26-000010.htm,1775899,ok
GRPN,0001490281-24-000024.htm,2401287,ok
GRPN,0001490281-25-000005.htm,2412700,ok
GRPN,0001628280-26-016429.htm,2431535,ok
GRWG,0001604868-26-000004.htm,1555979,ok
GRWG,0001628280-24-010996.htm,1860789,ok
GRWG,0001628280-25-012661.htm,1697175,ok
HBB,0001709164-24-000011.htm,1804215,ok
HBB,0001709164-25-000008.htm,1830473,ok
HBB,0001709164-26-000037.htm,1844610,ok
HD,0000354950-24-000062.htm,2018747,ok
HD,0000354950-25-000085.htm,2199280,ok
HD,0001628280-26-019436.htm,2314728,ok
HOFT,0001185185-24-000378.htm,2647094,ok
