ticker,drive_folder_id,drive_folder_url,pdf_file,drive_file_id,drive_file_url,size_bytes
WOOF,1s35e-TZ-t4tFXlhr6QxPTsshIxDVWFu8,https://drive.google.com/drive/folders/1s35e-TZ-t4tFXlhr6QxPTsshIxDVWFu8,WOOF-PETCO HEALTH AND WELLNESS CO-2024.pdf,1yX0v5e4IznuRu8oTZkfjkHZijmhEq0Ki,https://drive.google.com/file/d/1yX0v5e4IznuRu8oTZkfjkHZijmhEq0Ki/view,42387875
WRBY,1sB4kVg6Lz3dzJambWyCoafBIkupY1OQd,https://drive.google.com/drive/folders/1sB4kVg6Lz3dzJambWyCoafBIkupY1OQd,WRBY-WARBY PARKER INC-2021.pdf,1N5zoO_EC-7AmR7RrihnKYuosbcjfy5wU,https://drive.google.com/file/d/1N5zoO_EC-7AmR7RrihnKYuosbcjfy5wU/view,31469479
WRBY,1sB4kVg6Lz3dzJambWyCoafBIkupY1OQd,https://drive.google.com/drive/folders/1sB4kVg6Lz3dzJambWyCoafBIkupY1OQd,WRBY-WARBY PARKER INC-2022.pdf,1cRhkLv4vrMQF1EUgdcVM9Wq3nH56mZdB,https://drive.google.com/file/d/1cRhkLv4vrMQF1EUgdcVM9Wq3nH56mZdB/view,15210299
WRBY,1sB4kVg6Lz3dzJambWyCoafBIkupY1OQd,https://drive.google.com/drive/folders/1sB4kVg6Lz3dzJambWyCoafBIkupY1OQd,WRBY-WARBY PARKER INC-2023.pdf,17oQlfFaUOSDAv_gzOPrQlSAABGy-baQ_,https://drive.google.com/file/d/17oQlfFaUOSDAv_gzOPrQlSAABGy-baQ_/view,9371164
WRBY,1sB4kVg6Lz3dzJambWyCoafBIkupY1OQd,https://drive.google.com/drive/folders/1sB4kVg6Lz3dzJambWyCoafBIkupY1OQd,WRBY-WARBY PARKER INC-2024.pdf,1N6DPfRJGbYCsg5UanVioyaOEVqn_0XyR,https://drive.google.com/file/d/1N6DPfRJGbYCsg5UanVioyaOEVqn_0XyR/view,9754571
WRBY,1sB4kVg6Lz3dzJambWyCoafBIkupY1OQd,https://drive.google.com/drive/folders/1sB4kVg6Lz3dzJambWyCoafBIkupY1OQd,WRBY-WARBY PARKER INC-2025.pdf,1P9jzveXnG0fVo4m968FXqQB860Rt-1p6,https://drive.google.com/file/d/1P9jzveXnG0fVo4m968FXqQB860Rt-1p6/view,9657937
WSM,1PqfINwoGUFvna5zoZ76R9PUnoF07roIP,https://drive.google.com/drive/folders/1PqfINwoGUFvna5zoZ76R9PUnoF07roIP,WSM-WILLIAMS-SONOMA INC-2021.pdf,1-d7F-mJY0svQswt4yFe14QMDhIK65CQZ,https://drive.google.com/file/d/1-d7F-mJY0svQswt4yFe14QMDhIK65CQZ/view,2975347
WSM,1PqfINwoGUFvna5zoZ76R9PUnoF07roIP,https://drive.google.com/drive/folders/1PqfINwoGUFvna5zoZ76R9PUnoF07roIP,WSM-WILLIAMS-SONOMA INC-2022.pdf,1YpP83xwK570KMlZdfBhemOvfmf_oENgJ,https://drive.google.com/file/d/1YpP83xwK570KMlZdfBhemOvfmf_oENgJ/view,3026642
WSM,1PqfINwoGUFvna5zoZ76R9PUnoF07roIP,https://drive.google.com/drive/folders/1PqfINwoGUFvna5zoZ76R9PUnoF07roIP,WSM-WILLIAMS-SONOMA INC-2023.pdf,1htLM0Ly5XP6_AkrWirjGf2Q86dMf_i7v,https://drive.google.com/file/d/1htLM0Ly5XP6_AkrWirjGf2Q86dMf_i7v/view,6348346
WWW,1Gnw7yflVGUuFij8OavKfhYI9Mck2uMqp,https://drive.google.com/drive/folders/1Gnw7yflVGUuFij8OavKfhYI9Mck2uMqp,WWW-WOLVERINE WORLD WIDE-2021.pdf,1i1L40LVyDPi5U96Mj-EkXbtBAoWQLwgO,https://drive.google.com/file/d/1i1L40LVyDPi5U96Mj-EkXbtBAoWQLwgO/view,8554802
WWW,1Gnw7yflVGUuFij8OavKfhYI9Mck2uMqp,https://drive.google.com/drive/folders/1Gnw7yflVGUuFij8OavKfhYI9Mck2uMqp,WWW-WOLVERINE WORLD WIDE-2022.pdf,1BzxydkB7lo6nInCbZrmEkCEGR4J_evCi,https://drive.google.com/file/d/1BzxydkB7lo6nInCbZrmEkCEGR4J_evCi/view,31301914
WWW,1Gnw7yflVGUuFij8OavKfhYI9Mck2uMqp,https://drive.google.com/drive/folders/1Gnw7yflVGUuFij8OavKfhYI9Mck2uMqp,WWW-WOLVERINE WORLD WIDE-2023.pdf,12MjUMBRH5EwTjuZ5TWzx6ZV2sHIh9OxM,https://drive.google.com/file/d/12MjUMBRH5EwTjuZ5TWzx6ZV2sHIh9OxM/view,19761071
WWW,1Gnw7yflVGUuFij8OavKfhYI9Mck2uMqp,https://drive.google.com/drive/folders/1Gnw7yflVGUuFij8OavKfhYI9Mck2uMqp,WWW-WOLVERINE WORLD WIDE-2024.pdf,1gw8LXCkxvZESQBSwZiIjMor9Gs2K-x1z,https://drive.google.com/file/d/1gw8LXCkxvZESQBSwZiIjMor9Gs2K-x1z/view,26132127
XOM,1ymuSTpN2p5Z2QXNkJHznLvfy70LbIkVW,https://drive.google.com/drive/folders/1ymuSTpN2p5Z2QXNkJHznLvfy70LbIkVW,XOM-EXXON MOBIL CORP-2021.pdf,1W095KA0cRPLEJz0cpaPZAjnl7jIlqNrq,https://drive.google.com/file/d/1W095KA0cRPLEJz0cpaPZAjnl7jIlqNrq/view,2693862
XOM,1ymuSTpN2p5Z2QXNkJHznLvfy70LbIkVW,https://drive.google.com/drive/folders/1ymuSTpN2p5Z2QXNkJHznLvfy70LbIkVW,XOM-EXXON MOBIL CORP-2022.pdf,1_SDJ9hwdw_sFAxU9yrTi7dGVEaUynzy2,https://drive.google.com/file/d/1_SDJ9hwdw_sFAxU9yrTi7dGVEaUynzy2/view,76740812
XOM,1ymuSTpN2p5Z2QXNkJHznLvfy70LbIkVW,https://drive.google.com/drive/folders/1ymuSTpN2p5Z2QXNkJHznLvfy70LbIkVW,XOM-EXXON MOBIL CORP-2023.pdf,18_0ZFBk4Z1Zx_8gLpFStrM7VWPDRF8kk,https://drive.google.com/file/d/18_0ZFBk4Z1Zx_8gLpFStrM7VWPDRF8kk/view,6903378
XOM,1ymuSTpN2p5Z2QXNkJHznLvfy70LbIkVW,https://drive.google.com/drive/folders/1ymuSTpN2p5Z2QXNkJHznLvfy70LbIkVW,XOM-EXXON MOBIL CORP-2025.pdf,1desIza68Q8isKBqKHFJVsQqEvk9Ol_Os,https://drive.google.com/file/d/1desIza68Q8isKBqKHFJVsQqEvk9Ol_Os/view,2363607
XOM,1ymuSTpN2p5Z2QXNkJHznLvfy70LbIkVW,https://drive.google.com/drive/folders/1ymuSTpN2p5Z2QXNkJHznLvfy70LbIkVW,XOM-EXXON MOBIL CORP-2026.pdf,1YiHP8KME2iOWkE4azZFe4AG9fhSNhxy4,https://drive.google.com/file/d/1YiHP8KME2iOWkE4azZFe4AG9fhSNhxy4/view,6036956
