accession_number,ticker,last_checked_at,n_filings_known,download_status,drive_file_id
0001558370-24-003856,GIII,2026-06-30T10:53:22.367382+00:00,1,downloaded,1UYH9ONdDb1bSQK2SwYlaRcsBVlVSPGyp
0001116132-25-000019,TPR,2026-06-30T10:53:29.253858+00:00,1,downloaded,12QTxvx7XVEYkkHQzsOXflgzJ2pNE5EZs
0001116132-24-000018,TPR,2026-06-30T10:53:36.400887+00:00,1,downloaded,1q09LySK-wA_79VVSkTgi8yqbL-SUMKyi
0001116132-23-000020,TPR,2026-06-30T10:53:41.074881+00:00,1,downloaded,1HtwJGCCdmyJa3_EMK-Hg64bvcVX-j_wW
0001628280-26-021640,VRA,2026-06-30T10:53:45.982286+00:00,1,downloaded,1QIzOxF0ugPFw-bFAsfIBQqJH_JkdpI-t
0001495320-25-000019,VRA,2026-06-30T10:53:52.106492+00:00,1,downloaded,1IcsBzpAxENoisz8Qk3-9pw5nHi2R8i56
0001495320-24-000026,VRA,2026-06-30T10:53:56.266745+00:00,1,downloaded,1j49Zt4dyCDu7_dOqtzIVKqUF5PP-NM-v
0001193125-26-115298,MOV,2026-06-30T10:54:00.250883+00:00,1,downloaded,11DYd3VnqvSENFqGMPweSpFOH7sOlsFDO
0000950170-25-054522,MOV,2026-06-30T10:54:09.293514+00:00,1,downloaded,1tTSOocH_sktwORTFpOlLvi7K3fUXNj48
0000950170-24-036181,MOV,2026-06-30T10:54:21.934879+00:00,1,downloaded,1jcVKbKp3qQiS_5Wr3eajbzF-jXvl7cIu
0000883569-26-000017,FOSL,2026-06-30T10:54:28.168863+00:00,1,downloaded,1tDXDJUMcs8c48gpjdVlcw4A1MvzRyxTP
0000883569-25-000010,FOSL,2026-06-30T10:54:34.994870+00:00,1,downloaded,1xBzCVZyH_I_AftXdT1iIA1_V119e8i5e
0000883569-24-000007,FOSL,2026-06-30T10:54:39.750948+00:00,1,downloaded,1E4XbApVBZWLJV7pFrcoP2oXMIIgvs-fM
0001193125-26-159176,LAKE,2026-06-30T10:54:44.976709+00:00,1,downloaded,1iU-TbGNVkVsp78JrWzKzCCqewPMa1Xlr
0001654954-25-004352,LAKE,2026-06-30T10:54:52.584024+00:00,1,downloaded,1C7wZrd3_O-zmc9nTwUdF9UXrJZTlz0LX
0001654954-24-004465,LAKE,2026-06-30T10:54:56.522212+00:00,1,downloaded,1LlWNMTjoRjuda6AtsTgZleaLWfNvK6UA
0001628280-26-012614,WWW,2026-06-30T10:55:00.447953+00:00,1,downloaded,1dzuh-P7DDuHKmYux1q-vFS6g4v7K2M43
0000110471-25-000046,WWW,2026-06-30T10:55:07.031351+00:00,1,downloaded,1jENCcLj6y0wmNp54iday6KUWOpIMv38z
0000110471-24-000057,WWW,2026-06-30T10:55:11.326383+00:00,1,downloaded,1Vd8Waziq4AMuMkpxsdvaahQwySwrgG0E
0001628280-26-037664,DECK,2026-06-30T10:55:16.272145+00:00,1,downloaded,1M5eD2TosaXs87cQDXZi2d16THgxKvm95
0000910521-25-000017,DECK,2026-06-30T10:55:25.149779+00:00,1,downloaded,1THiwG7m-iqkotMXsF-GfrtGi5HYf8N-i
0000910521-24-000017,DECK,2026-06-30T10:55:29.699653+00:00,1,downloaded,1shNeHBhsS5vK6nX-n3FnKDUjkqZ2J-Ik
0000320187-25-000047,NKE,2026-06-30T10:55:34.089745+00:00,1,downloaded,15t5GBwp0nFPK2_5Ax7r3XBDo1BfkUVQA
0000320187-24-000044,NKE,2026-06-30T10:55:40.741804+00:00,1,downloaded,1tztBuc8WNsY8BagOFVw06Tq5bfSd4eHV
0000320187-23-000039,NKE,2026-06-30T10:55:45.571840+00:00,1,downloaded,1BWWeSMqswAUNgiiQTF3dAeummD-Lvrsj
0001437749-26-007634,RCKY,2026-06-30T10:55:50.089120+00:00,1,downloaded,1AK_qsBoLjpYrVqxSZBWjjYASEBKXL2Be
0001437749-25-008025,RCKY,2026-06-30T10:55:56.289733+00:00,1,downloaded,1LVT0xA2OlvVRjM6QnXzfXrohvXXVCkXW
0001437749-24-007987,RCKY,2026-06-30T10:56:00.388751+00:00,1,downloaded,1C_4lJNzlu_V4A4awxx_jgOXHk1qvXAJM
0001628280-26-012995,SHOO,2026-06-30T10:56:04.554288+00:00,1,downloaded,1roW1YNBcRkXkHLvJK7lSZHEGO5E3byGx
0001628280-25-009503,SHOO,2026-06-30T10:56:11.522323+00:00,1,downloaded,1ys5Y2Ptbcy1ag0u0tBI2IbKBw3ZbngTA
0001628280-24-008331,SHOO,2026-06-30T10:56:25.459264+00:00,1,downloaded,1jq9sIm1jH9rRalBJjJsYlaWp4bO72tt1
0001628280-26-022192,BIRD,2026-06-30T10:56:30.291127+00:00,1,downloaded,1EHK4V44Up5ddicDLP7AduEArj6Bdn1JZ
0001628280-25-012130,BIRD,2026-06-30T10:56:36.853645+00:00,1,downloaded,10kGhJKBFfgmMTf-rKilSMaimjpS2-9PV
0001653909-24-000015,BIRD,2026-06-30T10:56:41.193838+00:00,1,downloaded,1DM782v-CnRvdp6TsC3_d0XBiqmUWzfNW
0001334036-26-000006,CROX,2026-06-30T10:56:45.181829+00:00,1,downloaded,1-KS65FZzTE2z6VbW0ZmxJRbVVvOPbNrC
0001334036-25-000009,CROX,2026-06-30T10:56:52.132386+00:00,1,downloaded,1dcK13Z_PsZb6CvPdBGdhsHj1WhmsrGGC
0001334036-24-000025,CROX,2026-06-30T10:56:56.354727+00:00,1,downloaded,1BFX2xpABYgssPV1joalnoQuRa5-D_17o
