ticker,pdf_file,page,lines_table_area_share,lines_table_count,share_excl_frames_090,share_excl_frames_080,share_excl_frames_095,largest_table_share,largest_table_cells,n_frames_excluded_090,error
AN,AN-AUTONATION INC-2022.pdf,6,0.0,0,0.0,0.0,0.0,0.0,0,0,
AN,AN-AUTONATION INC-2022.pdf,10,0.0,0,0.0,0.0,0.0,0.0,0,0,
AN,AN-AUTONATION INC-2022.pdf,17,0.0,0,0.0,0.0,0.0,0.0,0,0,
AN,AN-AUTONATION INC-2022.pdf,20,0.0,0,0.0,0.0,0.0,0.0,0,0,
AN,AN-AUTONATION INC-2022.pdf,25,0.0,0,0.0,0.0,0.0,0.0,0,0,
AN,AN-AUTONATION INC-2022.pdf,26,0.0,0,0.0,0.0,0.0,0.0,0,0,
AN,AN-AUTONATION INC-2022.pdf,28,0.413303846768337,1,0.413303846768337,0.413303846768337,0.413303846768337,0.413303846768337,4,0,
AN,AN-AUTONATION INC-2022.pdf,29,0.3160038247397724,1,0.3160038247397724,0.3160038247397724,0.3160038247397724,0.3160038247397724,12,0,
BBWI,BBWI-BATH & BODY WORKS INC-2024.pdf,15,0.6772474004753417,1,0.6772474004753417,0.6772474004753417,0.6772474004753417,0.6772474004753417,17,0,
BBWI,BBWI-BATH & BODY WORKS INC-2024.pdf,35,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2024.pdf,60,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2024.pdf,85,0.7450748340224137,1,0.7450748340224137,0.7450748340224137,0.7450748340224137,0.7450748340224137,25,0,
BBWI,BBWI-BATH & BODY WORKS INC-2024.pdf,89,0.5027347666823464,1,0.5027347666823464,0.5027347666823464,0.5027347666823464,0.5027347666823464,26,0,
BBWI,BBWI-BATH & BODY WORKS INC-2024.pdf,96,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,3,0.0,0,0.0,0.0,0.0,0.0,0,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,5,0.3323005211428006,3,0.3323005211428006,0.3323005211428006,0.3323005211428006,0.234880960338681,2,0,
BBWI,BBWI-BATH & BODY WORKS INC-2025.pdf,7,0.0,0,0.0,0.0,0.0,0.0,0,0,
