ticker,filename,old_size_bytes,new_size_bytes,old_pages,new_pages,old_first_page_snippet,new_first_page_snippet
TGT,TGT-TARGET CORP-2020.pdf,5545572,5559595,105,105,"2021 Target 
Corporate 
Responsibility 
Report ","2021 Target 
Corporate 
Responsibility 
Report "
XOM,XOM-EXXON MOBIL CORP-2019.pdf,2693862,2677593,43,43,"Sustainability Report 
Highlights
In response to the COVID-19 pandemic, ExxonMobil temporarily reconfigured manufacturing 
operations in Louisiana to produce, blend, package and distribute hand sanitizer.","Sustainability Report 
Highlights
In response to the COVID-19 pandemic, ExxonMobil temporarily reconfigured manufacturing 
operations in Louisiana to produce, blend, package and distribute hand sanitizer."
DELL,DELL-DELL TECHNOLOGIES INC-2020.pdf,78068859,8269266,90,69,"Striving to create a positive and 
lasting impact on humankind 
and the planet
FY21 ESG Report","Striving to create a positive and lasting 
impact on humankind and the planet FY20 Social Impact Report"
HD,HD-HOME DEPOT INC-2020.pdf,26759817,31231964,150,154,"2021 ESG Report The Home Depot FC1
ESG Report
DOING OUR PART
2021","2020 Responsibility Report The Home Depot FC1
2020
Responsibility
Report A Year of Progress"
BBY,BBY-BEST BUY CO INC-2020.pdf,14168382,21885489,98,71,"Best Buy Fiscal Year 2021 ESG Report | 1
$
Environmental, 
Social and 
Governance 
Report
FISCAL YEAR 2021
Corporate.BestBuy.com/Sustainability","Doing a 
world of good.
FISCAL YEAR 2020
Environmental, Social and Governance Report • bestbuy.com/sustainability"
DLTR,DLTR-DOLLAR TREE INC-2020.pdf,6561260,7269688,52,52,"1 DOLLAR TREE I FAMILY D>LLM . 
CORPORATE 2021 
SUSTAINABILITY
REPORT 
 
TWO BRANDS, ENDLESS POSSIBILITIES ","CORPORATE
SUSTAINABILITY 
REPORT
2021
TWO BRANDS, ENDLESS POSSIBILITIES"
AAPL,AAPL-APPLE INC-2020.pdf,3131079,17195610,64,105,"Environmental
Social
Governance
Report
Apple’s 2021 ESG Report","Covering fiscal year 2020
Environmental 
Progress 
Report
Downloaded from SustainabilityReports.com | 2026-07-21 19:27:58 UTC"
WMT,WMT-WALMART INC-2020.pdf,15361349,15772303,39,140," 
Environmental,
Social and
Governance
FY2021 Summary","2020 Environmental, Social 
and Governance Report"
