ticker,filename,status,old_md5,new_md5
EYE,EYE-NATIONAL VISION HOLDINGS INC-2022.pdf,only_in_old,df6dbb44739a95b59317edbc09facb06,
M,M-MACY'S INC-2021.pdf,only_in_old,466afe27e2f46fa0245c2027d5d12c79,
BURL,BURL-Burlington Stores-2023.pdf,only_in_old,a755cfc459d46c1700d6ccff7dcac68f,
LZB,LZB-LA-Z-BOY INC-2023.pdf,only_in_old,a5c84ac9ca75465903ef65a2c5a21a04,
GPRO,GPRO-GOPRO INC-2022.pdf,only_in_old,5c5cd6f55c4161e3828dec6969db3999,
W,W-WAYFAIR INC-2023.pdf,only_in_old,e7f05a7e666aad5cb40be8e27c77babc,
LAD,LAD-LITHIA MOTORS INC -CL A-2021.pdf,only_in_old,d375f71daa0f93728f9c7e3da2657f4c,
BBWI,BBWI-BATH & BODY WORKS INC-2024.pdf,only_in_old,8a4947c255bf2f63c0a6c5126b3edc53,
JWN,JWN-NORSTROM-2022.pdf,only_in_old,5332054e70de053b8374a961ee04d6be,
ARKO,ARKO-ARKO CORP-2024.pdf,only_in_old,815823989c7afcbbab9af987937864f0,
HD,HD-HOME DEPOT INC-2024.pdf,only_in_old,caf4a3c21b54fb52f31d4f391f97bb59,
GPI,GPI-GROUP 1 AUTOMOTIVE INC-2023.pdf,only_in_old,65c4b030769079cc4ad6286bf9ad4bfd,
DG,DG-DOLLAR GENERAL CORP-2025.pdf,only_in_old,07b529f41534653fad1ed3410f120457,
AZO,AZO-AUTOZONE INC-2021.pdf,only_in_old,0cb724784b14d698c0d7d0a4573427df,
CAL,CAL-CALERES INC-2023.pdf,only_in_old,6a9db29f78be688f3f430a98de1d0ae7,
ABG,ABG-ASBURY AUTOMOTIVE GROUP INC-2022.pdf,only_in_old,cf6041c435ae77f110c8544908064142,
LAD,LAD-LITHIA MOTORS INC -CL A-2025.pdf,only_in_old,89488d869799b8db6d9f01b45202b299,
CVS,CVS-CVS HEALTH CORP-2021.pdf,only_in_old,5eb4b1891da4dd2b9479db16a84e38dd,
VSXY,VSXY-Victorias Secret-2021.pdf,only_in_old,d809821817069094a6cba331a683f07b,
VZ,VZ-VERIZON COMMUNICATIONS INC-2023.pdf,only_in_old,ff80f775e4f077d90588c1fb29e909f7,
FIGS,FIGS-FIGS INC-2021.pdf,only_in_old,d607b2f3fa99a90ebeaa62a08e8d6d16,
ROST,ROST-ROSS STORES INC-2023.pdf,only_in_old,94c7c403cee3262a321695bc204c45b9,
AN,AN-AUTONATION INC-2021.pdf,only_in_old,3b09ceaaf2759028af195ed18e905712,
