company,filename
FLXS,FLXS-FLEXSTEEL INDUSTRIES INC-2022.pdf
LZB,LZB-LA-Z-BOY INC-2022.pdf
LZB,LZB-LA-Z-BOY INC-2025.pdf
LZB,LZB-LA-Z-BOY INC-2024.pdf
LZB,LZB-LA-Z-BOY INC-2023.pdf
LZB,LZB-LA-Z-BOY INC-2021.pdf
MHK,MHK-MOHAWK INDUSTRIES INC-2024.pdf
MHK,MHK-MOHAWK INDUSTRIES INC-2023.pdf
MHK,MHK-MOHAWK INDUSTRIES INC-2022.pdf
MHK,MHK-MOHAWK INDUSTRIES INC-2021.pdf
HOFT,HOFT-HOOKER FURNISHINGS CORP-2022.pdf
HOFT,HOFT-HOOKER FURNISHINGS CORP-2021.pdf
HOFT,HOOKER FURNISHINGS CORP-HOFT-2024.pdf
HOFT,HOOKER FURNISHINGS CORP-HOFT-2023.pdf
LOVE,LOVE-LOVESAC CO (THE)-2022.pdf
LOVE,LOVE-LOVESAC CO (THE)-2025.pdf
LOVE,LOVE-LOVESAC CO (THE)-2024.pdf
LOVE,LOVE-LOVESAC CO (THE)-2023.pdf
LOVE,LOVE-LOVESAC CO (THE)-2021.pdf
SONO,SONO-SONOS INC-2020.pdf
SONO,SONO-SONOS INC-2025.pdf
SONO,SONO-SONOS INC-2024.pdf
SONO,SONO-SONOS INC-2023.pdf
SONO,SONO-SONOS INC-2022.pdf
SONO,SONO-SONOS INC-2021.pdf
UEIC,UEIC-UNIVERSAL ELECTRONICS INC-2023.pdf
UEIC,UEIC-UNIVERSAL ELECTRONICS INC-2025.pdf
UEIC,UEIC-UNIVERSAL ELECTRONICS INC-2024.pdf
GPRO,GPRO-GOPRO INC-2024.pdf
GPRO,GPRO-GOPRO INC-2023.pdf
GPRO,GPRO-GOPRO INC-2022.pdf
PLCE,PLCE-The Childrens Place-2021.pdf
PLCE,PLCE-The Childrens Place-2022.pdf
PLCE,PLCE-The Childrens Place-2023.pdf
VSXY,VSXY-Victorias Secret-2024.pdf
VSXY,VSXY-Victorias Secret-2021.pdf
VSXY,VSXY-Victorias Secret-2022.pdf
VSXY,VSXY-Victorias Secret-2023.pdf
VSXY,VSXY-Victorias Secret-2025.pdf
VSXY,VSXY-Victorias Secret-2026.pdf
CURV,CURV-TORRID HOLDINGS-2021.pdf
CURV,CURV-TORRID HOLDINGS-2022.pdf
CURV,CURV-TORRID HOLDINGS-2023.pdf
URBN,URBN-URBAN OUTFITTERS INC-2024-2025.pdf
URBN,URBN-Urban Outfitters-2021-2022.pdf
URBN,URBN-Urban Outfitters-2023-2024.pdf
JILL,JILL-J.Jill-2024.pdf
LE,LE-Lands End-2024.pdf
BURL,BURL-BURLINGTON STORES INC-2021.pdf
BURL,BURL-Burlington Stores-2022.pdf
BURL,BURL-Burlington Stores-2023.pdf
BURL,BURL-Burlington Stores-2024.pdf
GAP,GAP-GAP-2021.pdf
GAP,GAP-GAP-2022.pdf
GAP,GAP-GAP-2023.pdf
GAP,GAP-GAP-2024.pdf
GAP,GAP-GAP-2025.pdf
DXLG,DXLG-DESTINATION XL GROUP INC-2022.pdf
DXLG,DXLG-Destination XL Group-2024.pdf
TJX,TJX-Tjx Cos Inc-2021.pdf
TJX,TJX-Tjx Cos Inc-2022.pdf
TJX,TJX-Tjx Cos Inc-2023.pdf
TJX,TJX-Tjx Cos Inc-2024.pdf
TJX,TJX-Tjx Cos Inc-2025.pdf
ROST,ROST-ROSS STORES INC-2021.pdf
ROST,ROST-ROSS STORES INC-2022.pdf
ROST,ROST-ROSS STORES INC-2023.pdf
ROST,ROST-ROSS STORES INC-2024.pdf
AEO,AEO-AMERICAN EAGLE OUTFITTERS INC-2024.pdf
AEO,AEO-AMERICAN EAGLE OUTFITTERS INC-2023.pdf
AEO,AEO-AMERICAN EAGLE OUTFITTERS INC-2022.pdf
AEO,AEO-AMERICAN EAGLE OUTFITTERS INC-2021.pdf
GES,GES-GUESS-2021-2020.pdf
GES,GES-GUESS-2023-2022.pdf
GES,GES-GUESS-2024.pdf
GES,GES-GUESS-2025.pdf
ETSY,ETSY-Etsy-2023.pdf
ETSY,ETSY-Etsy-2022.pdf
ETSY,ETSY-Etsy-2024.pdf
ETSY,ETSY-Etsy-2021.pdf
PTRN,PTRN-Pattern Group-2023.pdf
PTRN,PTRN-Pattern Group-2021.pdf
PTRN,PTRN-Pattern Group-2022.pdf
PTRN,PTRN-Pattern Group-2024(Italian).pdf
SVV,SVV-Savers Value Village-2022.pdf
SVV,SVV-Savers Value Village-2023.pdf
SVV,SVV-Savers Value Village-2024.pdf
SVV,SVV-Savers Value Village-2025.pdf
JWN,JWN-NORSTROM-2021.pdf
JWN,JWN-NORSTROM-2022.pdf
JWN,JWN-NORSTROM-2023.pdf
JWN,JWN-NORSTROM-2024.pdf
GRPN,GRPN-Groupon Inc-2021.pdf
MELI,MELI-MERCADOLIBRE-2021.pdf
MELI,MELI-MERCADOLIBRE-2022.pdf
MELI,MELI-MERCADOLIBRE-2023.pdf
MELI,MELI-MERCADOLIBRE-2024.pdf
MELI,MELI-MERCADOLIBRE-2025.pdf
EBAY,EBAY-eBay-2021-Report.pdf
EBAY,EBAY-eBay-2022-Report.pdf
EBAY,EBAY-eBay-2023-Report.pdf
EBAY,EBAY-eBay-2025-Report.pdf
EBAY,EBAY-eBay-2024-Report.pdf
AMZN,AMZN-Amazon-2021.pdf
AMZN,AMZN-Amazon-2022.pdf
AMZN,AMZN-Amazon-2023.pdf
AMZN,AMZN-Amazon-2024.pdf
AMZN,AMZN-Amazon-2025.pdf
CPNG,CPNG-Coupang-2022.pdf
CPNG,CPNG-Coupang-2023.pdf
CPNG,CPNG-Coupang-2024.pdf
KSS,KSS-KOHL'S CORP-2021.pdf
KSS,KSS-KOHL'S-2022.pdf
KSS,KSS-KOHL'S-2023.pdf
KSS,KSS-KOHL'S-2024.pdf
M,M-MACY'S INC-2021.pdf
M,M-MACY'S INC-2022.pdf
M,M-MACY'S INC-2023.pdf
M,M-MACY'S INC-2024.pdf
M,M-MACY'S INC-2025.pdf
CROX,CROX-CROCS INC-2024.pdf
CROX,CROX-CROCS INC-2025.pdf
CROX,CROX-CROCS INC-2023.pdf
CROX,CROX-CROCS INC-2022.pdf
CROX,CROX-CROCS INC-2021.pdf
BIRD,NASDAQ_BIRD_2020.pdf
BIRD,BIRD-ALLBIRDS INC-2022.pdf
BIRD,BIRD-ALLBIRDS INC-2021.pdf
BIRD,BIRD-ALLBIRDS INC-2023.pdf
BIRD,BIRD-ALLBIRDS-2024.pdf
SHOO,Steve Madden Report 2020 Final.pdf
SHOO,Steve Madden SR WF 200821_FINAL_KC.pdf
SHOO,SHOO-MADDEN STEVEN LTD-2024.pdf
SHOO,SHOO-MADDEN STEVEN LTD-2023.pdf
SHOO,SHOO-MADDEN STEVEN LTD-2022.pdf
SHOO,SHOO-MADDEN STEVEN LTD-2021.pdf
RCKY,RCKY-ROCKY BRANDS INC-2023.pdf
NKE,NKE-NIKE INC -CL B-2024.pdf
NKE,NKE-NIKE INC -CL B-2023.pdf
NKE,NKE-NIKE INC -CL B-2022.pdf
NKE,NKE-NIKE INC -CL B-2021.pdf
DECK,DECK-DECKERS OUTDOOR CORP-2025.pdf
DECK,DECK-DECKERS OUTDOOR CORP-2024.pdf
DECK,DECK-DECKERS OUTDOOR CORP-2023.pdf
DECK,DECK-DECKERS OUTDOOR CORP-2022.pdf
DECK,DECK-DECKERS OUTDOOR CORP-2021.pdf
WWW,WWW-WOLVERINE WORLD WIDE-2024.pdf
WWW,WWW-WOLVERINE WORLD WIDE-2023.pdf
WWW,WWW-WOLVERINE WORLD WIDE-2022.pdf
WWW,WWW-WOLVERINE WORLD WIDE-2021.pdf
FOSL,FOSL-FOSSIL GROUP INC-2024.pdf
FOSL,FOSL-FOSSIL GROUP INC-2023.pdf
FOSL,FOSL-FOSSIL GROUP INC-2022.pdf
FOSL,FOSL-FOSSIL GROUP INC-2021.pdf
MOV,MOV-MOVADO GROUP INC-2022.pdf
MOV,MOV-MOVADO GROUP INC-2025.pdf
MOV,MOV-MOVADO GROUP INC-2024.pdf
MOV,MOV-MOVADO GROUP INC-2023.pdf
MOV,MOV-MOVADO GROUP INC-2021.pdf
VRA,VRA-VERA BRADLEY INC-2025.pdf
VRA,VRA-VERA BRADLEY INC-2024.pdf
VRA,VRA-VERA BRADLEY INC-2023.pdf
VRA,VRA-VERA BRADLEY INC-2022.pdf
VRA,VRA-VERA BRADLEY INC-2021.pdf
TPR,TPR-TAPESTRY INC-2025.pdf
TPR,TPR-TAPESTRY INC-2024.pdf
TPR,TPR-TAPESTRY INC-2023.pdf
TPR,TPR-TAPESTRY INC-2022.pdf
TPR,TPR-TAPESTRY INC-2021.pdf
GIII,GII-G-III APPAREL GROUP LTD-2025.pdf
GIII,GII-G-III APPAREL GROUP LTD-2024.pdf
GIII,GII-G-III APPAREL GROUP LTD-2023.pdf
LULU,LULU-LULULEMON ATHLETICA INC-2023.pdf
LULU,LULU-LULULEMON ATHLETICA INC-2024.pdf
LULU,LULU-LULULEMON ATHLETICA INC-2022.pdf
LULU,LULU-LULULEMON ATHLETICA INC-2021.pdf
UAA,UAA-UNDER ARMOUR INC-2023.pdf
UAA,UAA-UNDER ARMOUR INC-2021.pdf
CRI,CRI-CARTER2S INC-2025.pdf
CRI,CRI-CARTER'S INC-2024.pdf
CRI,CRI-CARTER'S INC-2023.pdf
CRI,CRI-CARTER'S INC-2022.pdf
CRI,CRI-CARTER'S INC-2021.pdf
COLM,COLM-COLUMBIA SPORTSWEAR CO-2024.pdf
COLM,COLM-COLUMBIA SPORTSWEAR CO-2023.pdf
COLM,COLM-COLUMBIA SPORTSWEAR CO-2022.pdf
COLM,COLM-COLUMBIA SPORTSWEAR CO-2021.pdf
RL,RL-RALPH LAUREN CORP-2025.pdf
RL,RL-RALPH LAUREN CORP-2024.pdf
RL,RL-RALPH LAUREN CORP-2023.pdf
RL,RL-RALPH LAUREN CORP-2022.pdf
RL,RL-RALPH LAUREN CORP-2021.pdf
FIGS,FIGS-FIGS INC-2024.pdf
FIGS,FIGS-FIGS INC-2023.pdf
FIGS,FIGS-FIGS INC-2022.pdf
FIGS,FIGS-FIGS INC-2021.pdf
FIGS,FIGS-FIGS INC-2025.pdf
KTB,KTB-KONTOOR BRANDS INC-2024.pdf
KTB,KTB-KONTOOR BRANDS INC-2023.pdf
KTB,KTB-KONTOOR BRANDS INC-2021.pdf
LEVI,LEVI-LEVI STRAUSS & CO-2024.pdf
LEVI,LEVI-LEVI STRAUSS & CO-2023.pdf
LEVI,LEVI-LEVI STRAUSS & CO-2022.pdf
LEVI,LEVI-LEVI STRAUSS & CO-2021.pdf
PVH,PVH-PVH CORP-2024.pdf
PVH,PVH-PVH CORP-2023.pdf
PVH,PVH-PVH CORP-2022.pdf
PVH,PVH-PVH CORP-2021.pdf
OXM,OXM-OXFORD INDUSTRIES INC-2021.pdf
VFC,VFC-VF CORP-2022.pdf
VFC,VFC-VF CORP-2023.pdf
VFC,VFC-VF CORP-2024.pdf
VFC,VFC-VF CORP-2025.pdf
SGC,SGC-SUPERIOR GROUP OF COS INC-2025.pdf
SGC,SGC-SUPERIOR GROUP OF COS INC-2024.pdf
SGC,SGC-SUPERIOR GROUP OF COS INC-2023.pdf
SGC,SGC-SUPERIOR GROUP OF COS INC-2022.pdf
SGC,SGC-SUPERIOR GROUP OF COS INC-2021.pdf
FL,FL-FOOT LOCKER INC-2023.pdf
FL,FL-FOOT LOCKER INC-2022.pdf
FL,FL-FOOT LOCKER INC-2021.pdf
GCO,GCO-GENESCO INC-2021.pdf
GCO,GCO-GENESCO INC-2024.pdf
GCO,GCO-GENESCO INC-2023.pdf
CAL,CAL-CALERES INC-2024.pdf
CAL,CAL-CALERES INC-2022.pdf
CAL,CAL-CALERES INC-2021.pdf
CAL,CAL-CALERES INC-2023.pdf
