ticker,filename,kept_file_id,trashed_file_id
HD,HD-HOME DEPOT INC-2016.pdf,1-9neRPCyz2q5wBngYZC1tEKsPk-OauZr,1AZaPC_MBH-j6-Qb4KADEpCZeXDin7L98
HD,HD-HOME DEPOT INC-2018.pdf,1IGsqoVG8wKDp5B1xky8_M9hSqr8gEfdb,1p2-SpBRBVYdzWJd6jPZ-KMkuhEQtp2x9
NWL,NWL-NEWELL BRANDS INC-2020.pdf,1UTBJjhbL2Hdj0An2llfOQ5ZufdRq8QrP,1Qda_Nimc6FZeeTtTlx8xLeFIHmj4i0OT
WHR,WHR-WHIRLPOOL CORP-2018.pdf,1BTwSqmvQFreWvn8aMHhJanHKH2SKVJv1,1E5OBDl7iSQbTRdJ_NxuhAAKy4IvLEqM2
SGI,SGI-SOMNIGROUP INTERNATIONAL INC(TEMPUR SEALY)-2020.pdf,11WoixbhDdRhodrNEjas-k93eGtcIOWrh,1fQTTdVRb_p8oMOOgvFylfFQNgFZyNo13
SGI,SGI-SOMNIGROUP INTERNATIONAL INC(TEMPUR SEALY)-2019.pdf,1DmYkDG0O4iFxzV7XlZwX6cnoqbvAfSnk,1GKkiWXfhzCCYGAcHEBAnbftLV5cRShkL
MHK,MHK-MOHAWK INDUSTRIES INC-2016.pdf,1koqBIApUS3rKaqed4hsoUIRUGwq8V_bc,1YSx4lzLBgLrWznc1zpqjSCT7nOTMUFVe
MHK,MHK-MOHAWK INDUSTRIES INC-2018.pdf,1cfaGReVhtsWyOugssHa7HyeIDjHkez91,1qXrRVAIW4TmnoccMwackyqetZLWtbK8M
SONO,SONO-SONOS INC-2019.pdf,1VhjasLqP7Vd4Ci5QerJwdr9ewxpYthJ9,1kYmMIxA2tGKfIP683DlA2EbwmPi9Ushf
PLCE,PLCE-CHILDRENS PLACE INC-2019.pdf,19CSFPIopid-ny7JYDYN2ooMwg_TjH8Yt,1i8JJZDf2Su105SjDP8QsmGA2Q6eWnMbI
PLCE,PLCE-CHILDRENS PLACE INC-2020.pdf,1L-Gg7V8BeVOR_DZQZ7dA6Z1znhNQ5h__,1cw5yPyaHePCyUOLZqo8igo3XlAXVPKGa
BURL,BURL-BURLINGTON STORES INC-2018.pdf,1xtueO3vEYEkTQDSvSvGN8yoi-PIhu_0O,19RKqqjaDcpv_XbrYIb1JWrfBT8QE441T
GAP,GAP-GAP INC-2017.pdf,18qI3sHiQGJb9rD_A64LXqkelMR2ZLmsv,1tHqDRIsbhSP9lXCGGWUg9FgSP-3WwZdc
GAP,GAP-GAP INC-2015-2016.pdf,1HDk6Vv6H6Tg9tDDFs7F0nHxbPuH-56N3,1A56hzUrAW9AgLNAXUTScB8ae22TLgoqX
TJX,TJX-TJX COS INC (THE)-2018.pdf,1Vo79BI-LPqxse1Kq3eUGiUDUGwhPze31,10tNzsMUjHPahJ7kSfCeGYuapQfL61Ap1
TJX,TJX-TJX COS INC (THE)-2016.pdf,1CtssUlLRl_sz4z0m8qTcC7pn7odP0fTN,1_K2EkN8w5mbWJNLnDqO6oThNFbmdLDpb
TJX,TJX-TJX COS INC (THE)-2015.pdf,1qh6g4_fXikJFEK_NCpkgopEDwrw60-Vq,1-9WLlimrSFrWwUsU-EEtHB_29i3SmJEr
TJX,TJX-TJX COS INC (THE)-2019.pdf,1lDNEsKUTsruRfcITkQLV5sl-gyQ2Hpf9,1itfXSrdbuAXWZtH6X6BnK0E3dH1dEi7X
TJX,TJX-TJX COS INC (THE)-2020.pdf,1iMHh5UXmsuzP0bz4sgZ3bxAwdaj8JEsf,134fOu64jHl1EbnwP1l0k9CzCCdcJvmYC
ROST,ROST-ROSS STORES INC-2020.pdf,1TVjFG2yQB8xcaQRMBf-hftszgxoMexd2,1zBXPaWq6KFzmX-_eAvN1O3Qb_m_SRIf0
GES,GES-GUESS INC-2016-2017.pdf,1A7C_6_VxALUw3HGrAW3WD0WyUoTDG4Ls,1Qdfq_heRVdvo-OWBXfNbT-ZZj63VED0i
ETSY,ETSY-ETSY INC-2018.pdf,1q6bTM7YZeiusTRiOILi-5IJkaoMH9Owe,1O9we1sH7IhCDY2wraGJuM5FuFueGfvBC
PTRN,PTRN-PATTERN GROUP INC-2017.pdf,1SWuic-YJ3OW-v4ozsMX1uzUJWvYPZrfV,11yYGfYEJIIYy0qJl9w_5z58s6gYurzCt
PTRN,PTRN-PATTERN GROUP INC-2016.pdf,1N5o8zyeLEMDFf9YGSahw7XQoXe8IO0-2,17SRlTAEij1eLye-hFzVuaZcb6fUjUmyL
PTRN,PTRN-PATTERN GROUP INC-2019.pdf,1T8AQFcj8ZoS_7y3xaToZTphzWRLz9GI9,1DMGETxE8rfSbN14MuR9ZS_Tm07hzFSnb
EBAY,EBAY-EBAY INC-2017.pdf,1E-Hla5nGbQJ98MxzpJC4zt5Y3FDXh17t,1M-4cwiqvP0oAnmEnPZwuIsE-M5m5YQS3
EBAY,EBAY-EBAY INC-2020.pdf,1ns9bOymkihk-725fDbMSz-6X6JNLb6KR,1WB0ISjjuqrWrMi4j3ppc2sdaEMzQzLId
AMZN,AMZN-AMAZON.COM INC-2018.pdf,1Hmj2TWzTNpzv78Y6f-_n6Bp4lQAHbJ_Q,1---vbYBnD3BJWHkOkZU_HM60cINuvyGk
