page,char_start,char_end,char_count
1,0,2623,2623
2,2624,6650,4026
3,6651,9991,3340
4,9992,15164,5172
5,15165,18463,3298
6,18464,22441,3977
7,22442,26348,3906
8,26349,30518,4169
9,30519,34124,3605
10,34125,35656,1531
11,35657,40599,4942
12,40600,45560,4960
13,45561,49564,4003
14,49565,53472,3907
15,53473,55055,1582
16,55056,59240,4184
17,59241,64406,5165
18,64407,68636,4229
19,68637,73365,4728
20,73366,78740,5374
