page,char_start,char_end,char_count
1,0,36,36
2,37,876,839
3,877,1250,373
4,1251,2958,1707
5,2959,4293,1334
6,4294,5750,1456
7,5751,6283,532
8,6284,6754,470
9,6755,8348,1593
10,8349,9225,876
11,9226,9657,431
12,9658,11567,1909
13,11568,12333,765
14,12334,12792,458
15,12793,14076,1283
16,14077,15096,1019
17,15097,15536,439
18,15537,17044,1507
19,17045,17818,773
20,17819,19374,1555
21,19375,19887,512
