ticker,pdf_file,source_pdf,source_size_bytes,source_mtime_utc,source_sha256,parse_source_kind,parse_source_pdf,parse_source_size_bytes,parse_source_mtime_utc,parse_source_sha256,parser_used,parser_policy,parser_reason,layout_risk_pages,reading_order_repaired_pages,reading_order_unresolved_pages,text_layer_fallback_pages,page_text_change_reasons,parsed_text_file,page_map_file,status,error_message,page_count,char_count,table_count,content_hash,parsed_at,quality_flags,possible_wrong_doc_type,readable_word_count,readable_word_ratio,chars_per_page,garbled_char_count
ETSY,ETSY-Etsy-2024.pdf,data/01_raw/sustainability/ETSY/ETSY-Etsy-2024.pdf,11289687,2026-07-22T20:53:22.574372+00:00,1c227df19a173e1ce6b2038738530a6b12cbf1581b18eddd29e2f77366192d2c,raw,data/01_raw/sustainability/ETSY/ETSY-Etsy-2024.pdf,11289687,2026-07-22T20:53:22.574372+00:00,1c227df19a173e1ce6b2038738530a6b12cbf1581b18eddd29e2f77366192d2c,pdfplumber,auto_pdfplumber_column_order_v2,deterministic_coordinate_reading_order_v2,,,,,,data/99_debug_etsy/02_text/ETSY/ETSY-Etsy-2024.txt,data/99_debug_etsy/02_text/ETSY/ETSY-Etsy-2024.pages.csv,parsed,,20,78740,0,81a38cbf344ce5e05c80666504a053f3ad444147bf9d0fafbaf7cfad25160077,2026-07-23T13:49:56.388726+00:00,,false,9351,0.7814,3937.0,0
SONO,SONO-SONOS INC-2019.pdf,data/01_raw/sustainability/SONO/SONO-SONOS INC-2019.pdf,10451473,2026-07-23T17:57:13.711601+00:00,bb9a059be2a12617fb9b7edf29fabff61601bf8612fd6fbf858475b366cc82f1,raw,data/01_raw/sustainability/SONO/SONO-SONOS INC-2019.pdf,10451473,2026-07-23T17:57:13.711601+00:00,bb9a059be2a12617fb9b7edf29fabff61601bf8612fd6fbf858475b366cc82f1,pdfplumber_column_order,auto_pdfplumber_column_order_v2,deterministic_coordinate_reading_order_v2;layout_grid_risk_reported;coordinate_column_order_pages=6,12,5;6;9;15;18;20,4;12,,5:coordinate_column_order;6:coordinate_column_order;9:coordinate_column_order;15:coordinate_column_order;18:coordinate_column_order;20:coordinate_column_order,data/99_debug_etsy/02_text/SONO/SONO-SONOS INC-2019.txt,data/99_debug_etsy/02_text/SONO/SONO-SONOS INC-2019.pages.csv,parsed,,21,19887,14,7990f2d22ba6f4036d8765e9a6eafbf409bab704d991ef2ec3531037766e3e8c,2026-07-23T17:59:17.922331+00:00,,false,2280,0.6857,947.0,0
ULTA,ULTA-ULTA BEAUTY INC-2020.pdf,data/01_raw/sustainability/ULTA/ULTA-ULTA BEAUTY INC-2020.pdf,3651145,2026-07-23T17:57:20.374244+00:00,a114e05f3f055b56995f985acf1b6e92f82e70073e1123dbd9efc62c952df837,raw,data/01_raw/sustainability/ULTA/ULTA-ULTA BEAUTY INC-2020.pdf,3651145,2026-07-23T17:57:20.374244+00:00,a114e05f3f055b56995f985acf1b6e92f82e70073e1123dbd9efc62c952df837,pdfplumber_column_order,auto_pdfplumber_column_order_v2,deterministic_coordinate_reading_order_v2;layout_grid_risk_reported;coordinate_column_order_pages=15,6;12;24;32,4;7;8;11;13;14;18;20;22;26;27;29;30;31;36,2;5;6;10;12;15;17;19;21;24;25;32,,4:coordinate_column_order;7:coordinate_column_order;8:coordinate_column_order;11:coordinate_column_order;13:coordinate_column_order;14:coordinate_column_order;18:coordinate_column_order;20:coordinate_column_order;22:coordinate_column_order;26:coordinate_column_order;27:coordinate_column_order;29:coordinate_column_order;30:coordinate_column_order;31:coordinate_column_order;36:coordinate_column_order,data/99_debug_etsy/02_text/ULTA/ULTA-ULTA BEAUTY INC-2020.txt,data/99_debug_etsy/02_text/ULTA/ULTA-ULTA BEAUTY INC-2020.pages.csv,parsed,,39,71426,54,295b2a8aad3eb210c7a6124fa5d72546176a7fcc25c04d100c09c449cb18dde3,2026-07-23T17:59:04.474311+00:00,,false,8493,0.7426,1831.4,0
