ticker,raw_htm,parsed_txt,section_files,fallback_files,status
AAP,3,3,66,0,OK
AAPL,3,3,75,0,OK
ABG,3,3,72,0,OK
ACI,3,3,75,0,OK
AEO,3,3,69,0,OK
AKA,3,3,75,0,OK
ANF,3,3,75,0,OK
ARHS,3,3,75,0,OK
ARKO,3,3,60,0,OK
ASO,3,3,72,0,OK
ATER,3,3,68,0,OK
AZO,3,3,74,0,OK
BARK,3,3,75,0,OK
BBBY,3,3,72,0,OK
BBWI,3,3,75,0,OK
BBY,3,3,71,0,OK
BIRD,3,3,75,0,OK
BJ,3,3,75,0,OK
BKE,3,3,74,0,OK
BNED,3,3,11,0,OK
BOBS,1,1,25,0,OK
BOOT,3,3,36,0,OK
BRLT,3,3,75,0,OK
BURL,3,3,57,0,OK
CART,3,3,75,0,OK
CATO,3,3,10,0,OK
CHWY,3,3,75,0,OK
COOK,3,3,75,0,OK
COST,3,3,74,0,OK
CRCT,3,3,75,0,OK
CRI,3,3,75,0,OK
CRMT,3,3,74,0,OK
CROX,3,3,75,0,OK
CURV,3,3,75,0,OK
CVNA,3,3,75,0,OK
CVS,3,3,75,0,OK
CWH,3,3,69,0,OK
DDS,3,3,72,0,OK
DECK,3,3,42,0,OK
DELL,3,3,66,0,OK
DG,3,3,69,0,OK
DIBS,3,3,75,0,OK
DKS,3,3,75,0,OK
DLTR,3,3,75,0,OK
ETD,3,3,44,0,OK
ETSY,3,3,75,0,OK
EVGO,3,3,73,0,OK
EYE,3,3,75,0,OK
FIGS,3,3,75,0,OK
FIVE,3,3,75,0,OK
FL,3,3,32,0,OK
FLWS,3,3,31,0,OK
FLXS,3,3,62,0,OK
FND,3,3,75,0,OK
FOSL,3,3,72,0,OK
GAP,3,3,75,0,OK
GCO,3,3,58,0,OK
GES,3,3,74,0,OK
GME,3,3,75,0,OK
GO,3,3,75,0,OK
GPI,3,3,73,0,OK
GPRO,3,3,75,0,OK
GROV,3,3,75,0,OK
GRPN,3,3,75,0,OK
GRWG,3,3,75,0,OK
HBB,3,3,69,0,OK
HD,3,3,75,0,OK
HOFT,3,3,56,0,OK
HOUR,3,3,12,0,OK
HVT,3,3,48,0,OK
HZO,3,3,12,0,OK
IMKTA,3,3,9,0,OK
JILL,3,3,69,0,OK
JRSH,3,3,76,0,OK
JWN,3,3,71,0,OK
KMX,3,3,75,0,OK
KOSS,3,3,68,0,OK
KSS,3,3,61,0,OK
KTB,3,3,11,0,OK
LAD,3,3,55,0,OK
LCUT,3,3,57,0,OK
LE,3,3,60,0,OK
LEG,3,3,72,0,OK
LESL,3,3,58,0,OK
LIVE,3,3,70,0,OK
LOVE,3,3,75,0,OK
LOW,3,3,71,0,OK
LULU,3,3,69,0,OK
LVLU,3,3,74,0,OK
LZB,3,3,75,0,OK
M,3,3,75,0,OK
MELI,3,3,75,0,OK
MGRX,3,3,21,0,OK
MHK,3,3,10,0,OK
MOV,3,3,70,0,OK
MSS,3,3,51,0,OK
MUSA,3,3,9,0,OK
NGVC,3,3,72,0,OK
NKE,3,3,74,0,OK
NWL,3,3,75,0,OK
ONEW,3,3,74,0,OK
ORLY,3,3,42,0,OK
PAG,3,3,12,0,OK
PETS,3,3,69,0,OK
PEW,1,1,21,0,OK
PLBY,3,3,75,0,OK
PLCE,3,3,75,0,OK
PRPL,3,3,63,0,OK
PRTS,3,3,70,0,OK
PSMT,3,3,68,0,OK
PTRN,1,1,25,0,OK
PVH,3,3,75,0,OK
RCKY,3,3,58,0,OK
RDNW,3,3,64,0,OK
REAL,3,3,75,0,OK
REBN,3,3,75,0,OK
RENT,3,3,72,0,OK
RH,3,3,74,0,OK
ROST,3,3,73,0,OK
SAH,3,3,75,0,OK
SBH,3,3,53,0,OK
SGC,3,3,49,0,OK
SGI,3,3,73,0,OK
SHOO,3,3,75,0,OK
SNBR,3,3,70,0,OK
SONO,3,3,65,0,OK
SPWH,3,3,69,0,OK
SVV,3,3,75,0,OK
TDUP,3,3,9,0,OK
TGT,3,3,75,0,OK
TJX,3,3,75,0,OK
TLYS,3,3,75,0,OK
TPR,3,3,74,0,OK
TSCO,3,3,70,0,OK
UAA,3,3,75,0,OK
UEIC,3,3,74,0,OK
ULTA,3,3,56,0,OK
UPBD,3,3,9,0,OK
URBN,3,3,63,0,OK
VNCE,3,3,63,0,OK
VRA,3,3,57,0,OK
VSXY,3,3,75,0,OK
VVV,3,3,71,0,OK
W,3,3,75,0,OK
WINA,3,3,33,0,OK
WMK,3,3,72,0,OK
WMT,3,3,18,0,OK
WOOF,3,3,51,0,OK
WRBY,3,3,75,0,OK
WSM,3,3,75,0,OK
WWW,3,3,75,0,OK
XELB,3,3,42,0,OK
XMAX,3,3,9,0,OK
ZUMZ,3,3,56,0,OK
